Date,Open,High,Low,Close,Shares Traded,Turnover (Rs. Cr)
17-Sep-13,8048.1,8166.6,8030.35,8154.25,16596487,1082.63
18-Sep-13,8160.4,8183.1,8119.55,8159.1,18291774,922.54
19-Sep-13,8130.6,8218,8093.8,8156.95,12872779,1314.6
20-Sep-13,8119.25,8225.8,8119.25,8132.8,16327850,1136.52
23-Sep-13,8137.95,8256.9,8133.4,8200.7,11324426,1039.29
24-Sep-13,8217.65,8250.85,8132.65,8169.1,15533191,1368.1
25-Sep-13,8192.95,8218,8116.45,8187.55,22045217,1192.13
26-Sep-13,8212.1,8225.35,8139.9,8157.8,20162677,1367.44
27-Sep-13,8176.4,8249,8147.75,8166.55,12821340,821.45
30-Sep-13,8196.4,8263.85,8136.85,8167.8,19008363,1051.81
01-Oct-13,8195.05,8208.5,8133.4,8181.65,8470257,609.53
03-Oct-13,8244.7,8374.2,8234.15,8360.85,21970505,1842.02
04-Oct-13,8353.3,8429.9,8329.45,8352.35,13539328,1016.94
07-Oct-13,8359.15,8487.95,8359.15,8461.55,12904603,1111.81
08-Oct-13,8483.3,8500.75,8424.1,8435,15091941,1372.24
09-Oct-13,8408.5,8584.6,8385.55,8564.45,13962277,1393.51
10-Oct-13,8585.75,8643.45,8549.15,8603.8,15222169,1412.36
11-Oct-13,8899.65,8932.55,8690.4,8870.15,21294050,2792.15
14-Oct-13,8868.85,9078.25,8868.85,9061.75,16750963,1649.05
15-Oct-13,9109.75,9167,9064.45,9120.3,16579107,1661.37
17-Oct-13,9111.85,9111.85,8775.1,8797.85,18902843,2167.81
18-Oct-13,8821.3,8907.5,8733,8893.85,14402271,1609.36
21-Oct-13,8928.45,8928.45,8712.7,8854.9,14234005,1448.27
22-Oct-13,8901.35,8951.85,8891.2,8915.15,14151414,1091.01
23-Oct-13,8891.3,8891.3,8739.9,8829.55,15145285,1156.3
24-Oct-13,8774.15,8921,8653.85,8681.65,16806194,1373.14
25-Oct-13,8670.4,8823.1,8647.95,8812.55,15123439,1306.13
28-Oct-13,8796.55,8851.85,8760.8,8783.2,9224472,746.01
29-Oct-13,8784.85,8844.2,8771.4,8822.1,11255245,812.04
30-Oct-13,8803.25,8853.3,8784.9,8835.15,17727549,982.51
31-Oct-13,8814.2,8881.3,8814.2,8852.8,15195844,1347.32
01-Nov-13,8840.6,8909,8787.7,8799.55,9064204,777.37
